,gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin
0,4519157822,No,28,2,Yes,9,6,11,0,0,0,0,Normal,6.6,Normal,Normal,Normal,643,-8,Normal,Normal
1,4523371949,No,12,1,No,5,5,5,0,0,0,0,Few,6.6,Normal,Normal,Normal,-2908,-1173,Normal,Few
2,4521474530,No,15,0,No,7,11,4,1,1,0,0,Normal,6.4,Normal,Normal,Normal,-1172,-1033,Normal,Normal
3,4524384067,No,43,1,No,4,5,5,1,0,1,0,Few,7.0,Normal,Normal,Normal,-1321,-7,Normal,Few
4,4436033771,No,75,4,No,6,6,6,0,0,0,0,Normal,7.0,High,Normal,Normal,-1004,230,Normal,Normal
5,4475365709,Yes,18,0,No,5,3,6,1,1,0,0,Few,7.0,Normal,High,Normal,698,101,High,Few
6,4493010632,Yes,18,3,Yes,7,6,7,1,1,0,0,Normal,6.8,Normal,High,Normal,2411,1563,High,Normal
7,4496759358,No,16,2,No,5,13,3,0,0,0,0,Few,6.4,Normal,Normal,Normal,-2615,-800,Normal,Few
8,4443048030,No,16,3,No,7,7,8,0,0,0,0,Normal,7.2,High,Normal,Normal,-1979,-771,Normal,Normal
9,4509433346,Yes,13,1,Yes,4,5,5,1,1,0,0,Few,6.8,Normal,High,Normal,-1548,-1574,High,Few
10,4452162573,No,20,3,Yes,4,4,6,0,0,0,0,Few,6.6,Normal,High,Low,331,-1585,High,Few
11,4453038156,No,33,2,Yes,11,11,7,1,0,1,0,Normal,7.0,High,Normal,Normal,-1505,-635,Normal,Normal
12,4515594785,Yes,18,1,Yes,7,1,11,1,1,0,0,Normal,7.4,High,High,Normal,3274,1659,High,Normal
13,4524924257,No,14,3,No,4,9,1,1,0,1,0,Few,6.6,Normal,Normal,Normal,-3414,-1141,Normal,Few
14,4516505202,Yes,15,3,Yes,4,4,4,0,0,0,0,Few,6.8,Normal,High,Normal,-470,-187,High,Few
15,4482120064,No,17,1,No,3,7,3,0,0,0,0,Few,6.8,Normal,Normal,Normal,-1996,-1804,Normal,Few
16,4523758462,Yes,14,1,Yes,10,2,8,0,0,0,0,Many,7.6,High,High,Normal,5228,3378,High,Many
17,4503636905,No,43,3,No,3,7,3,1,0,1,0,Few,6.8,Normal,Normal,Normal,-1975,-1345,Normal,Few
18,4486384947,Yes,21,4,Yes,5,4,11,0,0,0,0,Normal,6.8,Normal,Normal,Normal,882,512,Normal,Normal
19,4457103291,No,11,3,No,5,9,5,0,0,0,0,Few,7.0,Normal,Normal,Normal,-3155,-2773,Normal,Few
20,4472164226,Yes,14,3,Yes,11,6,15,1,1,0,0,Many,7.2,High,Normal,Normal,2526,1625,Normal,Many
21,4445294621,No,13,1,No,4,13,5,0,0,0,0,Few,6.8,Normal,Normal,Normal,-2835,-2821,Normal,Few
22,4480384157,No,17,2,No,4,6,3,0,0,0,0,Few,7.0,Normal,High,Normal,-1254,-567,High,Few
23,4520898233,No,78,4,No,4,3,4,2,1,1,0,Few,6.8,High,High,High,406,1283,High,Few
24,4522124566,Yes,33,3,No,6,9,10,0,0,0,0,Normal,6.8,Normal,Normal,Normal,-1020,493,Normal,Normal
25,4523978853,No,17,1,No,4,8,4,0,0,0,0,Few,6.2,Normal,Normal,Normal,-2472,-1067,Normal,Few
26,4507834811,Yes,18,1,No,8,6,9,1,1,0,0,Normal,7.0,Normal,Normal,Normal,1260,-55,Normal,Normal
27,4501319968,No,19,3,Yes,7,4,9,0,0,0,0,Normal,7.0,High,High,Normal,1857,2015,High,Normal
28,4519148589,No,105,5,Yes,8,6,13,1,1,0,0,Normal,6.8,Normal,Normal,Normal,1320,-413,Normal,Normal
29,4484877784,No,18,5,No,3,8,2,1,1,0,0,Few,6.8,Normal,High,Normal,-3282,-1647,High,Few
30,4466931235,Yes,22,7,Yes,9,4,10,1,1,0,0,Normal,7.0,Normal,High,Normal,2883,2111,High,Normal
31,4524189570,Yes,17,4,Yes,5,2,6,2,1,1,0,Normal,6.8,Normal,Normal,Normal,1703,1696,Normal,Normal
32,4503380070,No,12,3,No,6,4,7,0,0,0,0,Normal,6.8,Normal,Normal,Normal,608,-85,Normal,Normal
33,4497858921,No,15,2,Yes,5,4,4,0,0,0,0,Few,6.8,Normal,Normal,Normal,71,-359,Normal,Few
34,4509242024,Yes,40,2,No,6,4,4,0,0,0,0,Normal,7.4,High,Normal,Normal,275,872,Normal,Normal
35,4524296550,No,24,3,No,3,4,6,0,0,0,0,Few,6.8,Normal,High,Normal,-809,638,High,Few
36,4516034199,No,12,4,No,2,8,2,1,1,0,0,Few,7.2,High,Normal,High,-2771,-1125,Normal,Few
37,4504386463,No,20,2,Yes,5,6,4,1,0,1,0,Few,6.8,Normal,Normal,Normal,-1730,-1236,Normal,Few
38,4523799496,No,11,3,No,7,9,5,1,0,1,0,Normal,7.2,High,High,High,-904,1377,High,Normal
39,4379931850,No,18,2,No,3,6,3,1,0,1,0,Few,6.6,Normal,Normal,Normal,-1683,-1363,Normal,Few
40,4523858150,No,28,3,No,4,11,3,0,0,0,0,Few,6.8,Normal,High,Normal,-3025,-1833,High,Few
41,4459778854,Yes,36,1,No,10,6,12,0,0,0,0,Many,7.4,High,High,Normal,3004,2300,High,Many
42,4499523222,Yes,18,3,No,9,6,14,1,1,0,0,Normal,6.8,Normal,Normal,Normal,1574,761,Normal,Normal
43,4477029310,Yes,12,2,Yes,5,5,3,0,0,0,0,Few,6.6,Normal,High,Low,-1036,-1423,High,Few
44,4525037711,No,18,4,Yes,3,4,2,1,0,1,0,Few,7.4,High,High,Normal,16,433,High,Few
45,4459414345,No,41,0,No,1,10,0,0,0,0,0,Very Few,6.4,Normal,Normal,Normal,-6386,-4210,Normal,Very Few
46,4505664040,Yes,14,4,Yes,11,2,9,0,0,0,0,Many,7.6,High,High,Normal,5096,3310,High,Many
47,4439587692,Yes,19,1,Yes,8,4,5,1,1,0,1,Normal,7.0,High,Normal,Normal,2756,1683,Normal,Normal
48,4508000311,Yes,15,2,No,2,3,2,1,0,1,0,Few,6.6,Normal,Normal,Normal,-977,-1025,Normal,Few
49,4513365614,No,16,1,No,5,5,8,0,0,0,0,Few,6.8,Normal,Normal,Normal,-808,-1655,Normal,Few
50,4473252742,No,14,0,No,7,9,5,0,0,0,0,Normal,6.6,Normal,Normal,Normal,-1559,-407,Normal,Normal
51,4438138890,Yes,18,0,No,6,8,6,0,0,0,0,Normal,7.0,High,Normal,Normal,544,75,Normal,Normal
52,4467008289,Yes,22,4,Yes,5,2,2,2,1,1,0,Few,7.0,High,Normal,Normal,1381,1017,Normal,Few
53,4492625917,Yes,37,2,Yes,5,3,5,0,0,0,0,Normal,7.4,High,High,Normal,2031,1449,High,Normal
54,4502901044,No,14,4,No,3,3,2,1,1,0,0,Few,7.0,High,High,Normal,131,370,High,Few
